"sample.expression","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"8d915c7d-0df7-4242-80c4-b40cad9b09d4",0.116708025521055,0,0.0220464785736352,0.10707528024857,0,0.264252409874657,0.0224024221780097,0.0524688429349285,0.0524636949338721,0,0.0647692309296765,0,0.0360147116183741,0.0685065370801085,0.0893331371249025,0.0704605966163427,0.00330215072113932,0.0157700551227677,0.0085803103654737,0.00584611615648733,0,0
"b0a08eb5-b6eb-4f66-a707-0316d68076fe",0.00833665324105368,0,0,0,0,0.203435718022405,0,0.00264892691115146,0.0787076141853906,0,0.12293620729872,0,0.0236297383530616,0.325680723149864,0.000579722775936291,0.097235343114552,0,0.00156975333097175,0,0.135239599616893,0,0
"1100e746-ee79-4790-ac8f-b6a7db94f0a5",0.0648123953362365,0,0.084992925092462,0,0,0.367974581914147,0.0177291899692835,0,0.0492412707683379,0,0.047516631819588,0,0.00824626102132912,0.240991583684796,0.0271732864248858,0.0510002548078264,0,0,0,0.0388417257656302,0,0.00147989339547756
"25faab17-ab65-4ae9-a7b5-3111e5369d62",0.0460207433258117,0,0.0127048429757993,0.00884121192589431,0,0.194389685209217,0,0.0226903456308321,0.0423990362411738,0,0.0150976221304836,0,0,0.473184780418455,0.06928297675038,0.112111310792417,0,0,0,0.00327744459953571,0,0
"499fbaac-8cff-4375-96fb-c9a372189c73",0.0397696106020124,0,0.0965037870394942,0,0,0.482727535444636,0.0581116282087271,0,0,0,0.0690616449549864,0,0.0285987123550538,0.0701721260041327,0.0702342697684842,0.0596178169021043,0.00561286936962851,0,0,0.0195899993507409,0,0
"40994929-09be-42f0-87a7-855c7061ae62",0.0618037798816779,0,0.0307222929598937,0.0169146488578609,0,0.422573302812872,0.0868387748585809,0.0291799954739786,0,0,0.045788242143598,0,0.0197230857231014,0.0602398272138486,0.111710275607429,0.0923474156082087,0.00542886471829188,0.0120484023603155,0,0.00468109178034277,0,0
"0d53cb1c-97c4-4088-9e43-029de88fd66d",0.0670553452654186,0,0,0.053033415638478,0,0.381034840935557,0.0540850578137937,0.0253303949590752,0.074636001431828,0,0.0667698932408557,0,0.0170635588176704,0.0807667539534533,0.0555751947667753,0.0303951865412267,0.00194814484360244,0.000762447097075177,0,0.0915437646951902,0,0
"685022a8-6e68-4253-a301-97e8eaf5f5be",0.0934183114094153,0,0,0.27763025736623,0,0.148017275697974,0.037801150871019,0.089012887871365,0.0549631821479382,0,0.0897081274905689,0.0247767602446771,0.0147510484061064,0.0769381338268673,0.0603068669788808,0.0326759976889581,0,0,0,0,0,0
"e61d5c3d-4cfe-441f-be92-8b293bcbae9e",0.0395955156589785,0,0.000731558984268171,0.0135071183430681,0,0.222300687002938,0.0314729150882208,0,0.0353161906363552,0,0.0756809194725314,0,0,0.396754039929684,0.0401875099239289,0.0967126493361484,0,0,0,0.0477408956238779,0,0
"493347d2-65c6-4d0f-abc6-52feaeda757f",0.0881363086367776,0,0.0186107202940099,0.0105376601136294,0,0.291972130249148,0.00018011101391681,0.017465885824608,0.0401040185446797,0,0.0574863762063147,0,0.018136753136258,0.228382140373687,0.016056346575501,0.145592744463355,0.0113751063746592,0.0500091026903462,0.0059545955031097,0,0,0
"5f4589dc-17d9-4237-bacd-092ce1d80f7b",0.0103866912044991,0,0,0.213786962430353,0,0.200146992241277,0.0394905135272332,0.041186308113739,0.00598977815773723,0,0.035860959519631,0.0189988975291508,0.00118892961282823,0.0616700431275299,0.129150911869905,0.189118912636134,0,0.00475150990816889,0.0482725901218136,0,0,0
"045cf700-b495-4240-bd2d-8e796e657e32",0.1093295162962,0,0.025547140396335,0,0,0.248038783659226,0.0415194357711486,0.00854512627290245,0.0260011070019871,0,0.0439973593763001,0,0,0.199427964064094,0.0800968967237482,0.208482592557664,0.00474614313839315,0,0,0.00426793474200191,0,0
"ddae1f5f-79bb-4395-9e46-61e8bbda73b0",0.0721417451020325,0,0.0481881218968897,0.028215228005909,0,0.402930381756552,0,0,0.037290063932354,0,0.0733695178744447,0,0.0440384750936593,0.109204968213851,0.0187441460324585,0.0731475348257709,0,0.065929751299098,0,0.0268000659669805,0,0
"b6388e09-7ed5-4041-97bb-4427ba5571ba",0.0704917358370616,0,0.00748909371839216,0,0,0.322298377858845,0,0,0.0331558994105008,0,0.131534021999574,0,0.022311150968898,0.228676300419247,0.0105245595998846,0.0385252769849658,0,0,0,0.134993583202631,0,0
"b0d817dc-6519-41e7-9868-e72e8b616ca1",0.0357864824736455,0,0.0715175789067883,0,0.0594158532362572,0.33765363700526,0.041022493696641,0,0.00907572397241015,0,0.0600278266731202,0,0.0423216881573218,0.177222894932974,0.00922990475056953,0.0627590039550343,0,0.0060414179415641,0,0.0879254942984143,0,0
"8e4b15bd-17b0-4306-8224-97a0a27dd811",0.154429434416435,0,0.0188477608770039,0,0,0.215232877586577,0.000995164699414083,0.0320123065139585,0.0411020713920735,0,0.0665490216866531,0.0066269510869605,0.0912245548243595,0.134378748167272,0.107610090277764,0.130991018471529,0,0,0,0,0,0
"96aa0f50-f0b1-4c8d-9daa-6f0cf3d22f14",0.132706433369788,0,0.0261421154626838,0,0,0.319843389674462,0,0,0.0751227632357463,0,0,0.00467281891705077,0,0.277630154657508,0.0267789852779209,0.0967121777670253,0,0,0,0.0403911616378145,0,0
"7aa21b5c-341d-46e8-afd8-02eb625d09c5",0.0581607471214988,0,0.00841237090745286,0.0091143399632,0,0.286018119772532,0.0851466913412478,0,0,0,0.070489400803331,0,0,0.238197651481636,0.0539409907368251,0.151679919653302,0,0,0.0119450543269338,0,0,0.026894713892041
"a938cb2c-c8e8-4395-915b-37e1e279a4da",0.0936526624358553,0,0.0210275660082421,0,0,0.227294110428054,0,0,0.048179755397486,0,0.0347980847702667,0,0.00171814424245386,0.263042105021922,0.0366158433446098,0.234031471289254,0,0.0140715518146733,0.0255687052471833,0,0,0
"7735a10b-e6c5-41a1-9b10-b4f9c62e0144",0.0526242572336266,0,0.0398580640687266,0.0206253915479708,0,0.501650049279881,0,0,0,0,0.0711914320332559,0.0102707894299751,0.0522809103532144,0.0448864523857955,0.0132544536605431,0.121041753277247,0.0239046752022644,0.000640252319322718,0,0.0371229513730016,0.0106485678351754,0
"cd9b6f87-2f77-4f73-99b1-ada61cb59585",0.0601932323613453,0,0,0.14206521801123,0,0.18490469151796,0,0,0.0931784941536812,0,0.0860134699660161,0,0.0352471689110196,0.113695534311187,0,0.149676264916399,0.0694074111860024,0.000883503392747319,0,0.0647350112724119,0,0
