"Taxa","log2FoldChange","y.axis","baseMean","lfcSE","stat","pvalue","padj","Taxa.Level"
"o__Thiotrichales",-0.031739091537976,0,0.0221451729188641,3.27649429891405,-0.00968690577258002,0.992271088317506,1,"order"
"o__Tissierellales",1.12447329452111,0,1.57382892577984,0.805780023924463,1.39550902372149,0.162862395559664,1,"order"
"o__Trueperales",-0.0798212913411871,0,0.0291716423216747,2.55538903977213,-0.0312364536666812,0.975080968267487,1,"order"
"o__unclassified-f__Candidatus",-0.324172083402244,0,0.0405382564009583,3.25699029388248,-0.0995311788343761,0.920716533669205,1,"order"
"o__unclassified-f__Casimicrobiaceae",0.0174338889093139,0,0.0571148561275137,3.27649429891405,0.00532089706827573,0.995754558412396,1,"order"
"o__unclassified-f__Nimaviridae",0.0211150759954142,0,0.00744342967900611,3.27649429891405,0.00644441102870605,0.994858139527368,1,"order"
"o__unclassified-f__Unikaryonidae",-0.0048791501794148,0,0.00179425695381793,3.27649429891405,-0.00148913739329012,0.998811840704109,1,"order"
"o__unclassified-f__Vicinamibacteraceae",0.171725552130767,0,0.0860583264537269,1.05787209297277,0.162331110983554,0.871045116559594,1,"order"
"o__unclassified-g__Candidatus",0.065262814023912,0,0.191288307806364,1.08376615959916,0.0602185383312301,0.951981581054605,1,"order"
"o__unclassified-g__Chloracidobacterium",-0.326983284277945,0,0.0562351471572014,2.63111019059025,-0.124275784969915,0.90109691944664,1,"order"
"o__unclassified-g__Ezakiella",0.683765967095197,0,0.161119259523011,1.53255956256924,0.446159473207623,0.65548205499633,1,"order"
"o__unclassified-g__Methylacidimicrobium",0.06248902956816,0,0.0137252917225249,3.27649429891405,0.0190719176861901,0.984783733794696,1,"order"
"o__unclassified-g__Micavibrio",-0.00964396235496363,0,0.0171161426687491,3.23983696916048,-0.00297668137216874,0.997624955398117,1,"order"
"o__unclassified-g__Ndongobacter",-0.0490668828400169,0,0.0237709504936721,3.11783710433525,-0.0157374747935968,0.98744383013212,1,"order"
"o__unclassified-g__Pandoravirus",0.165596572887895,0,0.150634955756071,0.831213907919909,0.199222572324729,0.842088643156763,1,"order"
"o__unclassified-g__Sedimentibacter",0.0211150759954142,0,0.010062177110942,3.27649429891405,0.00644441102870606,0.994858139527368,1,"order"
"o__unclassified-s__endosymbiont of unidentified scaly snail isolate Monju",-0.0510183323731648,0,0.0135077042334481,3.27649429891405,-0.0155710120997537,0.987576631872449,1,"order"
"o__unclassified-s__Halovirus HHTV-2",0.0538242875098837,0,0.00785625324729518,3.27649429891405,0.0164274015455247,0.986893419424628,1,"order"
"o__unclassified-s__Leptopilina boulardi filamentous virus",-0.00487915017941484,0,0.00136521497228632,3.27649429891405,-0.00148913739329013,0.998811840704109,1,"order"
"o__unclassified-s__Mollivirus sibericum",-0.216774326792741,0,1.18229435323168,0.441033211713926,-0.491514745454931,0.623062425570836,1,"order"
"o__Ustilaginales",-0.0667476840066027,0,11.9298559157221,0.283688061497231,-0.235285488061521,0.813987157850998,1,"order"
"o__Veillonellales",0.46200332405593,0,0.355111814474104,1.42284427179237,0.324704068614578,0.745405055071364,1,"order"
"o__Verrucomicrobiales",1.0547932704116,0,4.74162713302443,0.697572596097571,1.51209103728046,0.130510704618966,1,"order"
"o__Vibrionales",-1.59334553214714,0,0.47053201100873,0.988236030263466,-1.61231273031236,0.106893904487723,1,"order"
"o__Xanthomonadales",0.991427125107912,0,7.0970821560303,0.469686212263494,2.11082867502127,0.0347870404624308,1,"order"
"o__Zurhausenvirales",0.307584186588951,0,0.108481945559377,0.964104554929062,0.319036130486473,0.749699115073077,1,"order"
"f__Acetobacteraceae",1.01383524344278,0,0.732219403067181,0.731843164002748,1.38531763813671,0.165955362742968,1,"family"
"f__Acholeplasmataceae",-0.0546874090963311,0,0.0581780379753572,1.71957504002294,-0.03180286281406,0.974629263597248,1,"family"
"f__Acidaminococcaceae",1.66049186677066,0,1.55165289632884,1.10454419755156,1.50332768073153,0.132754565444359,1,"family"
"f__Acidiferrobacteraceae",0.0278300613350545,0,0.00249731370130974,3.27649429891405,0.00849385312352853,0.99322296721989,1,"family"
"f__Acidimicrobiaceae",0.00769088057507822,0,0.0189454149139697,2.73044750744653,0.00281671065058145,0.997752593031421,1,"family"
"f__Acidobacteriaceae",0.0183072208530879,0,0.0389481631284373,2.52824724121259,0.00724107221582786,0.994222510764014,1,"family"
"f__Actinopolymorphaceae",-0.0423535903148884,0,0.0174632605391053,3.27649429891405,-0.0129264959590883,0.989686435672728,1,"family"
"f__Aerococcaceae",-0.188341576796649,0,0.0931569844481918,1.68514216725138,-0.111765986548098,0.911008957305501,1,"family"
"f__Aeromonadaceae",0.231723401723943,0,0.294863171997098,1.02367046410521,0.226365231633886,0.820917367248587,1,"family"
"f__Akkermansiaceae",1.16141332391403,0,4.67437565507184,0.716014382784604,1.62205306462875,0.104791986591516,1,"family"
"f__Alcaligenaceae",0.104399631771231,0,19.0630600206527,0.271701986006132,0.384243167692102,0.700798226251403,1,"family"
"f__Alicyclobacillaceae",-0.381789493367542,0,0.0726567995107468,2.59128481042489,-0.147335982456109,0.882866832487471,1,"family"
"f__Alteromonadaceae",0.250725915263706,0,0.148316943471149,1.08369145741916,0.231362823382235,0.817032944315052,1,"family"
