"","RNAseq","samp16s","distance","pt.id.rna","pt.id.16s","specimen.type","paired"
"175","SL242376","30822",1,"P112374302","P112404267","Normal","FALSE"
"176","SL242376","30824",1,"P112374302","P112416452","Normal","FALSE"
"177","SL242376","30935",1,"P112374302","P112382873","Tumor","FALSE"
"178","SL242376","30937",1,"P112374302","P112390908","Tumor","FALSE"
"179","SL242376","30939",1,"P112374302","P112397962","Normal","FALSE"
"180","SL242376","30941",1,"P112374302","P112404922","Normal","FALSE"
"181","SL242376","30943",1,"P112374302","P112406974","Tumor","FALSE"
"182","SL242376","30945",1,"P112374302","P112406974","Normal","FALSE"
"183","SL242376","30947",1,"P112374302","P112416452","Tumor","FALSE"
"184","SL242376","31531",1,"P112374302",NA,NA,"CONTROL"
"185","SL242376","31537",1,"P112374302","P112364086","Tumor","FALSE"
"186","SL242376","31539",1,"P112374302","P112364086","Normal","FALSE"
"187","SL242376","31541",1,"P112374302","P112375831","Normal","FALSE"
"188","SL242376","31543",1,"P112374302","P112380828","Tumor","FALSE"
"189","SL242376","31545",1,"P112374302","P112380828","Normal","FALSE"
"190","SL242376","31667",1,"P112374302","P112362735","Normal","FALSE"
"191","SL242376","31669",1,"P112374302","P112375831","Tumor","FALSE"
"192","SL242376","31671",1,"P112374302","P112380750","Normal","FALSE"
"193","SL242376","31673",1,"P112374302","P112380503","Tumor","FALSE"
"194","SL242376","31675",1,"P112374302","P112380503","Normal","FALSE"
"195","SL242376","31677",1,"P112374302","P112377885","Tumor","FALSE"
"196","SL242376","31679",1,"P112374302","P112381955","Tumor","FALSE"
"197","SL242376","31683",1,"P112374302",NA,NA,"CONTROL"
"198","SL242376","32111",1,"P112374302",NA,NA,"CONTROL"
"199","SL242376","32115",1,"P112374302","P112381968","Tumor","FALSE"
"200","SL242376","32117",1,"P112374302","P112381987","Normal","FALSE"
"201","SL242376","32376",1,"P112374302","P112377885","Normal","FALSE"
"202","SL242376","32388",1,"P112374302",NA,NA,"CONTROL"
"203","SL242376","32513",1,"P112374302","P112378162","Normal","FALSE"
"204","SL242376","32515",1,"P112374302","P112382412","Tumor","FALSE"
"205","SL242376","32517",1,"P112374302","P112381968","Normal","FALSE"
"206","SL242376","32527",1,"P112374302",NA,NA,"CONTROL"
"207","SL242376","32766",1,"P112374302","P112380750","Tumor","FALSE"
"208","SL242376","32768",1,"P112374302","P112381955","Normal","FALSE"
"209","SL242376","32778",1,"P112374302",NA,NA,"CONTROL"
"210","SL242376","33086",1,"P112374302","P112378162","Tumor","FALSE"
"211","SL242376","33088",1,"P112374302","P112381987","Tumor","FALSE"
"212","SL242376","33090",1,"P112374302","P112382873","Normal","FALSE"
"213","SL330198","30161",0.944444444444444,"P112359002","P112387186","Tumor","FALSE"
"214","SL330198","30163",0.945945945945946,"P112359002","P112387186","Normal","FALSE"
