"Taxa","log2FoldChange","y.axis","baseMean","lfcSE","stat","pvalue","padj","Taxa.Level"
"k__unclassified-p__Firmicutes",0.931182229014107,5.68890443702282,516.450676704789,0.223138574172625,4.17311185422259,3.00467335572674e-05,0.00338329755524491,"kingdom"
"k__unclassified-p__Fusobacteria",2.20092115443906,5.68890443702282,107.573652666422,0.525282248071874,4.18997817367304,2.78981288320421e-05,0.00338329755524491,"kingdom"
"p__Firmicutes",0.9849283958261,5.68890443702282,571.698649466794,0.237129820526021,4.1535408479678,3.27369741293501e-05,0.00338329755524491,"phylum"
"p__Verrucomicrobia",2.4596317844977,5.68890443702282,4.8587880285019,0.583439454037152,4.21574469720568,2.48955280636688e-05,0.00338329755524491,"phylum"
"c__Bacteroidia",1.49545348931967,5.68890443702282,147.088181789158,0.362491983278899,4.12548017143066,3.6996205800333e-05,0.00338329755524491,"class"
"c__Betaproteobacteria",1.0138489575384,5.68890443702282,136.485480633113,0.243071933715991,4.17098322311038,3.03288192988891e-05,0.00338329755524491,"class"
"c__Clostridia",1.29051933717242,5.68890443702282,156.244741532735,0.311776853739423,4.13924036275962,3.48457715431959e-05,0.00338329755524491,"class"
"o__Bacteroidales",1.54763820554782,5.68890443702282,167.021805111094,0.375687246747468,4.11948560656923,3.79719142002796e-05,0.00338329755524491,"order"
"o__Burkholderiales",1.03025945229381,5.68890443702282,118.449050461676,0.248726323037046,4.14214080646525,3.44078983596758e-05,0.00338329755524491,"order"
"o__Erysipelotrichales",2.43501252076011,5.68890443702282,5.10345243969335,0.585006884653024,4.16236558002964,3.14967556521357e-05,0.00338329755524491,"order"
"g__Campylobacter",2.54780017206713,5.68890443702282,5.2751679847027,0.616225045352452,4.13452875906708,3.55683713213182e-05,0.00338329755524491,"genus"
"g__Halomonas",1.37065731990933,5.68890443702282,14.5057452734046,0.329362632679091,4.1615447045713,3.16102099942875e-05,0.00338329755524491,"genus"
"f__Campylobacteraceae",2.20517298243821,5.57359023192569,7.17470413832709,0.539791863540698,4.08522827293775,4.40335046904684e-05,0.00379682445282652,"family"
"f__Plasmodiidae",2.46066322511633,5.4197336281908,4.52278910029089,0.608784855006358,4.04192582138173,5.30140046027012e-05,0.00442832607196938,"family"
"g__Plasmodium",2.46250815911839,5.33913423959386,4.52414242503647,0.613214045114761,4.01573998302263,5.92595627548173e-05,0.0048000245831402,"genus"
"c__Spirochaetia",2.51757303581624,5.29749260041363,3.09424234701993,0.629574511107921,3.99884841491729,6.3651428387235e-05,0.00500412553173763,"class"
"k__unclassified-c__Cryptophyceae",2.07097347032422,5.14696261179617,18.047076250477,0.523482243535824,3.95614845755986,7.61678373460915e-05,0.00581704654931721,"kingdom"
"o__Haemosporida",2.2001733383044,4.90679879249902,2.92322046089525,0.565485853062808,3.89076636734187,9.99281135813213e-05,0.00739612701228972,"order"
"g__Bacteroides",1.9540397105585,4.90679879249902,111.92307074896,0.502985144869232,3.88488552890865,0.000102378114274119,0.00739612701228972,"genus"
"o__Ustilaginales",1.78499691633429,4.83236269046697,7.5454620399509,0.462404294199124,3.86025159957883,0.000113270335491755,0.00796767386235422,"order"
"p__unclassified-c__Cryptophyceae",2.02265743213885,4.70351287155899,19.0524747017407,0.529179368044426,3.82225300962422,0.000132237905716264,0.00906338261486084,"phylum"
"o__Lactobacillales",1.05508122121028,4.56956240379318,86.8310582710842,0.278914831923483,3.78280786982219,0.000155069110562909,0.0103624933133664,"order"
"c__Bacilli",0.885470776364519,4.36162677798897,329.478212486778,0.237740615426529,3.72452462435121,0.000195683612012542,0.0127576169490128,"class"
